DATE,Volunteers ,# of Volunteers ,Arrival time,Weather,Surf,# of Honu at arrival,Time of first Honu ,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,PAU,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,People Tally,Harassment?,Honu up at other opening?,Number of people less than 15 feet away
11/11/16,Ian,1,2:15,Sunny,16-20<',0,2:46,0,0,0,1,2,1,2,7,7,7,,,,,,7,2,2,3,0,8,12,19,27,5,0,,,,,,178,0,,n/a
11/12/16,"Ian, Ryan",2,2:30,Sunny,6-15',3,3:11,3,3,4,9,9,10,11,21,24,28,,,,,,28,10,6,5,14,21,19,17,24,0,0,,,,,,150,0,,2
11/13/16,"Ian, Ryan",2,2:00,Sunny,6-10',3,2:32,3,10,11,12,15,17,22,40,44,44,,,,,,44,10,16,4,6,10,26,29,16,0,0,,,,,,186,0,,0
11/14/16,"Magda, Mike",2,2:30,Sunny,11-15',6,3:08,6,6,8,9,9,10,10,10,16,17,,,,,,17,5,5,23,14,30,24,25,23,20,15,,,,,,255,0,,n/a
11/15/16,Jane,1,1:15,Sunny,11-15',n/a,2:24,14,18,26,31,29,30,38,54,71,74,,,,,,74,11,12,5,13,8,8,3,21,12,0,,,,,,250,0,,0
11/16/16,Anthony,1,2:30,Sunny,2-5',22,2:45,22,27,28,22,24,25,26,28,33,37,,,,,,37,10,6,20,25,12,25,16,10,4,4,,,,,,165,0,,10
11/17/16,Ian,1,2:30,Sunny,2-5',17,2:36,17,19,22,28,36,39,43,43,44,45,50,61,61,,,61,30,42,15,17,35,27,28,31,22,20,10,0,0,,,284,0,,10
11/18/16,Makayla,1,2:40,Sunny,11-15',n/a,3:10,,11,15,15,15,17,16,21,,,,,,,,21,,13,11,24,21,11,20,7,,,,,,,,225,0,,16
11/19/16,Luan,1,2:30,"Cloudy, Rainy",11-15',22,3:00,22,23,28,26,28,29,30,28,,,,,,,,28,50,14,20,30,5,6,14,0,,,,,,,,117,0,,50
11/20/16,Casia,1,2:45,Partly Cloudy,2-10',n/a,3:09,25,25,33,36,37,37,32,43,49,,,,,,,49,7,4,17,23,24,33,19,24,0,,,,,,,209,0,,7
11/21/16,Magda,1,2:30,"Cloudy, Rainy",2-5',25,4:41,25,25,27,31,32,36,35,48,,,,,,,,48,30,35,23,13,21,25,20,5,,,,,,,,280,0,,n/a
11/22/16,Jane,1,1:15,Partly Cloudy,6-10',n/a,2:08,40,41,47,56,60,62,63,73,83,,,,,,,83,20,9,33,9,24,11,,26,6,,,,,,,206,0,,0
11/23/16,Anthony,1,2:30,Partly Cloudy,2-5',n/a,2:55,30,31,36,43,48,52,56,71,84,84,,,,,,84,15,25,15,25,20,12,30,10,8,,,,,,,315,0,,10
11/24/16,Ian,1,2:15,"Cloudy, Rainy",6-10',30,2:17,32,38,39,43,45,46,48,61,65,,,,,,,65,4,0,3,14,11,14,38,9,0,,,,,,,177,0,,0
11/25/16,Ian,1,2:20,Partly Cloudy,6-10',33,2:30,34,36,42,44,49,52,54,59,62,,,,,,,62,13,24,12,11,29,26,16,12,0,,,,,,,155,0,,0
11/26/16,"Ian, Ryan",2,2:05,Partly Cloudy,6-10',23,2:32,22,27,34,35,36,41,46,45,51,,,,,,,51,9,25,36,10,25,31,38,13,0,,,,,,,369,0,,6
11/27/16,"Ian, Ryan ",2,2:20,"Sunny, Partly Cloudy",2-5',10,3:01,10,10,12,20,24,25,31,43,51,,,,,,,51,19,13,19,13,15,33,17,7,0,,,,,,,215,0,,5
11/28/16,"Esther, Magda",2,2:00,"Cloudy, Rainy",0-1',46,2:54,44,43,46,51,54,55,61,78,,,,,,,,78,31,11,29,21,13,6,27,9,,,,,,,,269,0,,17
11/29/16,"Jane, Magda",2,1:45,Sunny,2-5',n/a,2:48,29,28,33,37,42,46,52,58,64,,,,,,,64,33,16,27,26,25,23,23,16,14,,,,,,,380,0,,0
11/30/16,Anthony,1,2:30,Cloudy,2-5',31,5:15,31,30,27,24,25,25,29,39,51,,,,,,,51,25,36,12,14,20,10,32,6,5,,,,,,,130,0,,10
12/1/16,Magda,1,2:30,"Cloudy, Rainy",2-5',12,2:07,12,15,20,20,20,21,28,50,56,,,,,,,56,16,16,13,18,27,9,25,27,3,,,,,,,169,0,,n/a
12/2/16,Ian,1,1:45,Cloudy,6-10',15,1:50,21,21,23,22,23,26,29,37,48,,,,,,,48,7,12,11,10,12,34,21,19,0,,,,,,,216,0,,5
12/3/16,Ian,1,2:15,Cloudy,2-10',14,2:21,16,19,19,17,17,17,20,27,35,,,,,,,35,13,3,10,18,31,40,15,32,0,,,,,,,225,0,,10
12/4/16,Ian,1,2:00,"Cloudy, Rainy",11-15',6,2:15,9,9,14,20,25,27,34,37,40,,,,,,,40,18,31,8,22,7,16,6,3,0,,,,,,,220,0,,0
12/5/16,"Esther, Jane, Magda",3,2:00,Partly Cloudy,2-5',27,2:00,31,32,33,39,39,40,45,56,66,68,,,,,,68,8,7,14,22,27,18,17,12,14,6,,,,,,280,0,,20
12/6/16,Magda,1,2:00,"Sunny, Rainy",n/a,n/a,2:53,32,35,38,42,42,42,49,56,65,,,,,,,65,25,8,20,23,22,20,23,5,2,,,,,,,195,0,,n/a
12/7/16,Anthony,1,2:30,Partly Cloudy,2-5',34,2:45,34,34,39,42,45,45,55,65,70,73,,,,,,73,27,14,15,30,25,35,12,8,2,0,,,,,,225,0,,10
12/8/16,Magda,1,2:00,Rainy,6-10',17,2:39,19,26,34,44,45,46,46,60,,,,,,,,60,39,15,13,25,20,21,21,4,,,,,,,,215,0,,n/a
12/9/16,Ian,1,2:00,Cloudy,2-5',16,2:12,18,22,23,28,28,30,36,41,43,,,,,,,43,14,13,14,26,30,21,15,11,0,,,,,,,269,0,,0
12/10/16,Ian,1,2:00,Rainy,2-5',4,2:15,8,15,21,23,25,27,34,41,41,,,,,,,41,2,12,5,22,10,12,13,0,0,,,,,,,150,0,,6
12/11/16,Ian,1,1:45,"Sunny, Partly Cloudy, Rainy",2-5',5,1:47,23,29,44,53,57,57,64,70,,,,,,,,70,28,19,40,38,20,7,19,0,,,,,,,,298,0,,4
12/12/16,"Jane, Magda",2,2:00,Sunny,2-5',n/a,2:51,51,54,58,62,67,71,82,100,118,,,,,,,118,29,16,,12,16,25,43,14,5,,,,,,,250,0,,n/a
12/13/16,"Neko, Magda",2,2:00,Rainy,2-5',n/a,3:23,n/a,41,53,52,50,55,63,73,82,,,,,,,82,,,2,5,8,15,17,10,5,,,,,,,150,0,,n/a
12/14/16,"Anthony, Neko",2,2:30,Cloudy,2-5',30,3:15,30,26,32,33,35,35,49,57,62,,,,,,,62,10,5,25,16,40,19,22,8,0,,,,,,,215,0,,10
12/15/16,"Magda, Esther",2,2:00,Rainy,2-5',5,3:39,5,5,5,6,8,8,18,40,48,50,,,,,,50,14,17,4,0,5,1,10,22,4,2,,,,,,143,0,,n/a
12/16/16,Ian,1,2:00,Sunny,16-20',1,0:00 none,0,0,0,0,0,0,0,0,0,,,,,,,0,2,5,0,2,2,2,1,0,0,,,,,,,97,0,,0
12/17/16,Ian,1,2:00,Sunny,11-15',6,2:45,6,6,6,6,6,6,6,9,16,,,,,,,16,28,15,16,7,10,11,18,15,0,,,,,,,305,0,,8
12/18/16,Ian,1,1:45,Cloudy,6-10',9,1:59,18,21,20,20,23,26,31,43,45,,,,,,,45,12,40,28,27,28,29,38,4,0,,,,,,,282,0,,20+
12/19/16,"Magda, Jane",2,2:00,Cloudy,2-5',n/a,2:53,35,36,42,41,41,41,47,51,56,,,,,,,56,42,21,21,7,6,10,11,18,7,,,,,,,255,0,,10
12/20/16,"Janw, Magda",2,n/a,Sunny,6-10',n/a,3:01,56,60,62,60,58,49,37,50,54,,,,,,,54,14,16,12,23,29,40,38,7,4,,,,,,,375,0,,12
12/21/16,Anthony,1,2:30,Sunny,6-10',15,2:45,15,17,20,21,24,25,26,27,29,32,,,,,,32,8,25,19,25,30,43,16,17,0,8,,,,,,225,0,,8
12/22/16,Magda,1,2:00,Sunny,5-10',26,2:24,27,34,35,40,44,45,47,50,53,,,,,,,53,18,16,25,27,20,32,16,8,5,,,,,,,135,0,,n/a
12/23/15,MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/16,Ian,1,2:00,Sunny,2-5',19,2:09,23,27,31,31,31,32,32,36,43,46,,,,,,46,12,14,6,20,15,14,18,35,25,0,,,,,,229,0,,0
12/25/16,"Ian, Cassidy",2,2:10,Sunny,6-10',10,2:33,10,17,18,19,19,18,19,18,18,,,,,,,18,18,22,23,21,14,6,21,9,0,,,,,,,236,0,,0
12/26/16,"Jane, Magda",2,2:20,Sunny,6-10',n/a,2:50,35,39,47,50,50,50,52,56,70,,,,,,,70,21,37,31,21,45,28,48,40,,,,,,,,420,0,,n/a
12/27/16,Magda,1,2:00,Sunny,2-5',38,2:20,41,42,52,55,61,60,66,76,,,,,,,,76,31,20,41,41,45,55,25,24,,,,,,,,295,0,,n/a
12/28/16,"Anthony, Taylor",2,2:30,Sunny,0-1',31,2:45,31,34,37,42,43,47,50,63,73,80,,,,,,80,14,9,10,16,15,32,46,25,12,9,,,,,,256,0,,0
12/29/16,"Magda, Taylor",2,2:30,Partly Cloudy,0-1',32,2:37,32,40,42,44,,49,,68,72,,,,,,,72,40,31,40,35,33,38,27,23,15,,,,,,,512,0,,10
12/30/16,"Ian, Taylor",2,2:30,Rainy,11-15',4,3:27,4,4,5,5,6,7,8,21,24,,,,,,,24,0,4,5,15,0,0,9,15,0,,,,,,,200,0,,0
12/31/16,Ian,1,2:00,Rainy,6-10',9,2:54,7,8,11,9,7,9,12,12,13,14,,,,,,14,0,17,8,0,6,0,4,18,14,0,,,,,,147,0,,0
